Column,Response,Predictor,Datatype,LevelOfMeasurement,Is_NDS,Is_ECG,Is_EEG,Is_Burst,Is_20Mins,Is_40Mins,Is_60Mins,Is_Elec1,Is_Elec2,Is_Power,Is_Entropy,Is_Shannon,Is_Tsallis,Is_Frac,Is_Delta,Is_Theta,Is_Alpha,Is_Beta,Is_Gamma,Is_SuperGamma,Is_Total
Burst_A_Duration_Mean,0,1,float,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burst_A_Duration_Percent,0,1,float,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Count,0,1,int,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Duration_Max,0,1,int,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Duration_MaxPercent,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Duration_Mean,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Duration_Percent,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_A_Period_Duration,0,1,float,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burst_A_Period_End,0,1,float,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burst_A_Period_Start,0,1,float,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Period_Duration,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Period_End,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burst_B_Period_Start,0,1,float,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elec1PowDeltaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMIN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMIN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaMIN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaRNG@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaRNG@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaRNG@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSPOT@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSPOT@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSPOT@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSTD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSTD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowDeltaSTD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Elec1PowThetaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMIN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMIN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaMIN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaRNG@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaRNG@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaRNG@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSPOT@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSPOT@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSPOT@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSTD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSTD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowThetaSTD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Elec1PowAlphaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMIN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMIN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaMIN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaRNG@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaRNG@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaRNG@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSPOT@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSPOT@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSPOT@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSTD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSTD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowAlphaSTD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Elec1PowBetaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMIN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMIN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaMIN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaRNG@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaRNG@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaRNG@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSPOT@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSPOT@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSPOT@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSTD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSTD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowBetaSTD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Elec1PowGammaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMIN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMIN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaMIN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaRNG@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaRNG@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaRNG@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSPOT@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSPOT@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSPOT@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSTD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSTD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowGammaSTD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Elec1PowSuperGammaAUC@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaAUC@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaAUC@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaIQR@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaIQR@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaIQR@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAD@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAD@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAD@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAX@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAX@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMAX@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEDIAN@20Mins,0,1,float,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEDIAN@40Mins,0,1,float,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elec1PowSuperGammaMEDIAN@60Mins,0,1,float,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
